A.G. Holley State Hospital, Lantana Rd,Lantana,Palm Beach,(561) 582-5666,1199,Florida,33462,Medical Staff Office,,
All Children's Hospital, 6th Avenue South,St. Petersberg,Pinellas,727-898-7451,501,Florida,33701,Medical Staff Office,727-767-4288,
Arnold Palmer Hospital for Children, West Miller Street,Orlando,Orange,407-649-9111,92,Florida,32806,Medical Staff Office,407-841-5139,407-841-5255
Aventura Hospital Medical Center, Biscayne Boulevard,Aventura,Dade,305-682-7000,20900,Florida,33180,Medical Staff Office,(305) 682-7124,
Baptist Children's Hospital, North Kendall Drive,Miami,Dade,786-596-1960,8900,Florida,33176,Medical Staff Office,786-662-7879,
Bartow Regional Medical Center, Osprey Boulevard,Bartow,Polk,863-533-8111,2200,Florida,33830,Medical Staff Office,(863) 519-1400,
Bay Medical Center, North Bonita Avenue,Panama City,Bay,850-769-1511,615,Florida,32401,Medical Staff Office,(850) 747-6723,
Bayfront Medical Center, 6th Street South,St. Petersberg,Pinellas,727-823-1234,701,Florida,33701,Medical Staff Office,727-893-6277,727-893-6244
Bert Fish Medical Center, Palmetto Street,New Smyrna Beach,Volusia,386-424-5000,401,Florida,32168,Medical Staff Office,386-424-5093,
Bethesda Memorial Hospital,South Seacrest Boulevard,Boynton Beach,Palm Beach,561-737-7733,2815,Florida,33435,Medical Staff Office,561.737.7733 ext. 84272,
Blake Medical Center,59th Street West,Bradenton,Manatee,941-792-6611,2020,Florida,34209,Medical Staff Office,(800) 553-7953,
Boca Raton Regional Hospital,"800 Meadows Road, Boca Raton, FL 33486",Boca Raton,Palm Beach,561-955-7100,800,Florida,33486,Medical Staff Office,(561) 955.4827.,
Bonita Community Health Center,Health Center Boulevard,Bonita Springs,Lee,239-949-1050,501,Florida,34135,Medical Staff Office,(239) 949-6117 ,(239) 949-6176
Brandon Regional Hospital,Oakfield Drive,Brandon,Hillsborough,813-681-5551,119,Florida,33511,Medical Staff Office,(813) 857-1682,
Brooksville Regional Medical Center,Cortez Boulevard,Brooksville,Hernando,352-796-5111,17240,Florida,34601,Medical Staff Office,352-754-3246,352-797-9519
Broward Health Medical Center,South Andrews Avenue,Fort Lauderdale,Broward,954-355-4400,1600,Florida,,Medical Staff Office,954-355-4400,
Campbellton-Graceville Hospital,College Drive,Graceville,Jackson,850-263-4431,5429,Florida,32440,Medical Staff Office,850-263-4431,
Cape Canaveral Hospital,West Cocoa Beach Causeway,Cocoa Beach,Brevard,321-799-7111,701,Florida,32931,Medical Staff Office,321-799-7111,
Cape Coral Hospital,Del Prado Boulevard South,Cape Coral,Lee,239-424-2000,636,Florida,333990,Medical Staff Office,239-424-3500,
Capital Regional Medical Center,Capital Medical Boulevard,Tallahassee,Leon,850-325-5000,2626,Florida,32308,Medical Staff Office,(850) 325-5025,
Cedars Medical Center,South Dixie Highway #100,Miami,Dade,305-607-5830,706,Florida,33146,Medical Staff Office,305-607-5830,
Central Florida Regional Hospital, West Seminole Boulevard,Sanford,Seminole,407-321-4500,1401,Florida,32771,Medical Staff Office,(407) 302-7381,
Charlotte Regional Medical Center,Harbour Blvd,Punta Gorda,Charlotte,941-766-4122,2500,Florida,33952,Medical Staff Office,(941) 637-2552,
Citrus Memorial Hospital,West Highland Boulevard,Inverness,Citrus,352-726-1551,502,Florida,34452,Medical Staff Office,352-560-6397,352-344-6900
Cleveland Clinic Hospital, Cleveland Clinic Boulevard,Weston,Broward,954-689-5000,2950,Florida,33331,Medical Staff Office,954-689-5000,
Columbia Miami Heart Institute,NE 191ST ST MIAMI,Miami,Dade,305-931-7111,2999,Florida,33180,Medical Staff Office,305-931-7111,
Delray Medical Center,Linton Boulevard,Delray Beach,Palm Beach,561-498-4440,5352,Florida,33484,Medical Staff Office,561-637-5350,
DeSoto Memorial Hospital,N Roberts Ave Arcadia,Marianna,DeSoto,863-494-3535,900,Florida,34266,Medical Staff Office,863-494-8405,
Dr. P. Phillips Hospital,Turkey Lake Road,Orlando,Orange,407-351-8500,9400,Florida,32819,Medical Staff Office,407.351.8591,
Ed Fraser Memorial Hospital,North 3rd Street,Macclenny,Baker,904-259-3151,159,Florida,32063,Medical Staff Office,904-259-3151,
Edward White Hospital,9th Avenue North,St. Petersberg,Pinellas,727-323-1111,2323,Florida,33713,Medical Staff Office,,
Englewood Community Hospital,Medical Boulevard,Englewood,Charlotte,941-475-6571,700,Florida,34223,Medical Staff Office,(941) 473-5006,
Fawcett Memorial Hospital,Olean Boulevard,Port Charlotte,Charlotte,941-629-1181,21298,Florida,33952,Medical Staff Office,941-255-2446,
Fishermen's Hospital,Overseas Highway,Marathon,Monroe,305-743-5533,3301,Florida,33050,Medical Staff Office,305-289-2258,
Flagler Hospital,Health Park Boulevard,St. Augustine,St. Johns,904-819-5155,400,Florida,32086,Medical Staff Office,904-819-4420 ,
Florida A&M Hospital,Tallahassee,Tallahassee,Leon,850-599-3000,,Florida,,Medical Staff Office,850-599-3000,
Florida Hospital Altamonte,East Altamonte Drive,Altamonte Springs,Seminole,407-303-2200,601,Florida,32701,Medical Staff Office,407-303-2200,
Florida Hospital at Connerton Long Term Acute Care,Health Center Drive,Land O' Lakes,Pasco,813-903-3701,9441,Florida,34637,Medical Staff Office,813-903-3701,
Florida Hospital Carrollwood,North Dale Mabry Highway,Carrollwood,Hillsborough,813-932-2222,7171,Florida,33614,Medical Staff Office,813-932-2222,
Florida Hospital DeLand,West Plymouth Avenue,DeLand,Volusia,386-943-4522,701,Florida,32720,Medical Staff Office,386-943-4522,
Florida Hospital East Orlando, Lake Underhill Road,Orlando,Orange,407-303-8110,7727,Florida,32822,Medical Staff Office,407-303-8110,
Florida Hospital Kissimmee," North Orange Blossom Trail, Kissimmee, FL 34744",Kissimmee,Osceola,407-846-4343,2450,Florida,34744,Medical Staff Office,407-846-4343,
Florida Hospital Lake Placid,1210 Highway 27,Lake Placid,Highlands,863-465-3777,1210,Florida,33852,Medical Staff Office,863-465-3777,
Florida Hospital Oceanside,South Atlantic Avenue,Ormond Beach,Volusia,386-672-4161,264,Florida,32176,Medical Staff Office,386-672-4161,
Florida Hospital Orlando,East Rollins Street,Orlando,Orange,407-303-5600,601,Florida,32803,Medical Staff Office,407-303-5600,
Florida Hospital Ormond Memorial,Memorial Medical Parkway,Ormond Beach,Volusia,386-231-6000,301,Florida,32117,Medical Staff Office,386-231-6000,
Florida Hospital Pepin Heart Institute,East Fletcher Avenue,Tampa,Hillsborough,813-971-6000,3100,Florida,33613,Medical Staff Office,813-971-6000,
Florida Hospital Tampa, East Fletcher Avenue,Tampa,Hillsborough,813-971-6000,3100,Florida,33613,Medical Staff Office,813-971-6000,
Gadsden Community Hospital, Capital Medical Boulevard,Quincy,Gadsden,850-325-5000,2626,Florida,32308,Medical Staff Office,(256) 494-4246,
Glades General Hospital,Hooker Highway,Belle Glade,Palm Beach,561-996-6571,39200,Florida,33430,Medical Staff Office,561-996-6571,
Good Samaritan Medical Center (West Palm Beach),North Flagler Drive,West Palm Beach,Palm Beach,561-655-5511,1309,Florida,33401,Medical Staff Office,561-655-5511,
Golisano Children's Hospital of Southwest Florida, Creekside Parkway,Fort Myers,Lee,239-254-4270,1265,Florida,34108,Medical Staff Office,239-424-3500,
Gulf Breeze Hospital,Gulf Breeze Parkway,Gulf Breeze,Santa Rosa,850-934-2000,1110,Florida,32561,Medical Staff Office,850-934-2000,
Gulf Coast Medical Center, West 23rd Street,Fort Myers,Lee,850-769-8341,449,Florida,32405,Medical Staff Office,(850) 747-7130,
H. Lee Moffitt Cancer Center & Research Institute, USF Magnolia Drive,Tampa,Hillsborough,888-663-3488,12902,Florida,33612,Medical Staff Office,888-663-3488,
Halifax Medical Center, North Clyde Morris Boulevard,Daytona Beach,Volusia,386-254-4000,303,Florida,32114,Medical Staff Office,(252) 535-8129,
Health Central,West Colonial Drive,Ocoee,Orange,407-296-1000,10000,Florida,34761,Medical Staff Office,407.296.1804,
Helen Ellis Memorial Hospital,Tarpon Springs,Tarpon Springs,Pinellas,727-942-5000,,Florida,34689,Medical Staff Office,(727) 942-5057,
Heritage Hospital, W MARC KNIGHTON CT LECANTO,Lecanto,Citrus,904-746-9000,2804,Florida,34461,Medical Staff Office,904-746-9000,
Holmes Regional Medical Center, S Hickory St,Melbourne,Brevard,321-434-7000,1350,Florida,32901,Medical Staff Office,321-434-7110,
Holy Cross Hospital, North Federal Highway,Fort Lauderdale,Broward,954-771-8000,4725,Florida,33308,Medical Staff Office,(954)492-5792,
Homestead Hospital,Baptist Way,Homestead,Dade,786-243-8000,975,Florida,33033,Medical Staff Office,786-243-8505,
Jackson Hospital, Northwest 12th Avenue,Marianna,Jackson,305-585-1111,1611,Florida,33136,Medical Staff Office,305-585-6771,
JFK Medical Center,South Congress Avenue,Atlantis,Palm Beach,561-965-7300,5301,Florida,33462,Medical Staff Office,(732) 321-7170,
Kendall Medical Center, Southwest 40th Street,Miami,Dade,305-223-3000,11750,Florida,33175,Medical Staff Office,(305) 227-5538,
Kindred Hospital North Florida, Oak Street,Green Cove Springs,Clay,904-284-9230,801,Florida,32043,Medical Staff Office,904-284-9230,
Lake City Medical Center,Northwest Commerce Drive,Lake City,Columbia,386-719-9000,340,Florida,32055,Medical Staff Office,(386) 719-9020,
Lake Wales Medical Center,South 11th Street,Lake Wales,Polk,863-676-1433,10,Florida,33853,Medical Staff Office,863-676-1433,
Larkin Community Hospital,Southwest 62nd Avenue,South Miami,Dade,305-284-7500,7031,Florida,33143,Medical Staff Office,305-284-7500,
Lawnwood Regional Medical Center,South 23rd Street,Fort Pierce,St. Lucie,772-461-4000,1700,Florida,34950,Medical Staff Office,(772) 467-8120,
Lee Memorial Hospital,Cleveland Avenue,Fort Myers,Lee,239-343-2000,2776,Florida,33901,Medical Staff Office,239-424-3500,
Leesburg Regional Medical Center, East Dixie Avenue,Leesburg,Lake,352-323-5762,600,Florida,34748,Medical Staff Office,352-323-5762,
Manatee Memorial Hospital,2nd Street East,Bradenton,Manatee,941-746-5111,206,Florida,34208,Medical Staff Office,941-745-7350,
Martin Memorial Health Systems,Southeast Osceola Street,Stuart,Martin,772-324-8440,711,Florida,344994,Medical Staff Office,772.223.2800.,
Mayo Clinic Hospital,San Pablo Road South,Jacksonville,Duval,904-953-2000,4500,Florida,32224,Medical Staff Office,888-266-0440,
Memorial Hospital Flagler,Memorial Medical Parkway,Palm Coast,Flagger,386-586-2000,60,Florida,32164,Medical Staff Office,386-586-2000,
Mercy Hospital (Miami), South Miami Avenue,Miami,Dade,305-854-4400,3663,Florida,33133,Medical Staff Office,(305) 285-2727,
Morton Plant Hospital, Pinellas Street,Clearwater,Pinellas,727-462-7000,300,Florida,33756,Medical Staff Office,727-462-7000,
Munroe Regional Medical Center,Southwest 1st Avenue,Ocala,Marion,352-351-7200,1500,Florida,34471,Medical Staff Office,(352) 351 7273,
Naval Hospital Pensacola,West HIghway 98,Pensacola,Escambia,850-505-6601,6000,Florida,32512,Medical Staff Office,850-505-6601,
NCH Healthcare System - North Naples,Health Park Boulevard,Naples,Collier,239-596-8814,11181,Florida,34110,Medical Staff Office,239-624-4500,
Nemours Children's Clinic Hospital, North 9th Avenue,Pensacola,Escambia,850-505-4700,5153,Florida,32504,Medical Staff Office,850-505-4700,
Nicklaus Children's Hospital at St. Mary's Medical Center, 45th Street,West Palm Beach,Palm Beach,561-844-6300,901,Florida,33407,Medical Staff Office,(561) 881-2771,
Oak Hill Hospital,Cortez Boulevard,Brooksville,Hernando,352-596-6632,11375,Florida,34613,Medical Staff Office,(352) 597-3019,
Ocala Regional Medical Center, Southwest 1st Avenue,Ocala,Marion,352-401-1000,1431,Florida,34471,Medical Staff Office,352-401-1000,
Orange Park Medical Center,Kingsley Avenue,Orange Park,Clay,904-639-8500,2001,Florida,32073,Medical Staff Office,(904) 639-8500,
Orlando Regional Medical Center, Kuhl Avenue,Orlando,Orange,321-841-5111,1414,Florida,32806,Medical Staff Office,321.841.8625,
Osceola Regional Medical Center,West Oak Street,Kissimmee,Osceola,407-846-2266,700,Florida,34741,Medical Staff Office,(407) 518-3540,
Palm Bay Community Hospital, Malabar Road Southeast,Palm Bay,Brevard,321-434-8000,1425,Florida,32907,Medical Staff Office,321-434-8000,
Palm Beach Gardens Medical Center,3365 Burns Road,Palm Beach Gardens,Palm Beach,561-422-4330,#202,Florida,33410,Medical Staff Office,561-694-7140,
Palmetto General Hospital,West 68th Street,Hialeah,Dade,305-823-5000,2001,Florida,33016,Medical Staff Office,(305) 364-2198,
Palms of Pasadena Hospital, Pasadena Avenue South,St. Petersburg,Pinellas,727-381-1000,1501,Florida,33707,Medical Staff Office,(727) 341-7774,
Pan American Hospital,NW 57 Street,Miami,Dade,(305) 477-4475,800,Florida,33178,Medical Staff Office,(305) 477-4475,
Parkway Regional Medical Center, NW 170th St,North Miami Beach,Dade,(305) 651-1100,160,Florida,33169,Medical Staff Office,(305) 651-1100,
Parrish Medical Center, North Washington Avenue,Titusville,Brevard,321-268-6111,951,Florida,32796,Medical Staff Office,321-268-6111,
Physicians Regional Medical Center - Pine Ridge, Pine Ridge Road,Naples,Collier,239-348-4000,6101,Florida,34119,Medical Staff Office,239-354-6050,
Pinecrest Rehabilitation Hospital,Linton Boulevard,Delray Beach,Palm Beach,561-495-0400,5360,Florida,33484,Medical Staff Office,561-637-5350,
Putnam Community Medical Center,Zeagler Drive,Palatka,Putnam,386-328-5711,611,Florida,32177,Medical Staff Office,386-328-5711,
Raulerson Hospital,U.S. 441,Okeechobee,Okeechobee,863-763-2151,1796,Florida,34972,Medical Staff Office,(863) 824-2706,
Regional Medical Center Bayonet Point,Fivay Road,Hudson,Pasco,727-819-2929,14000,Florida,34667,Medical Staff Office,727-861-5102,727-869-5448
Rehabilitation Hospital,North Davis Highway,Pensacola,Escambia,850-494-4000,383,Florida,32514,Medical Staff Office,(850) 494-4113,
Santa Rosa Medical Center,Berryhill Road,Milton,Santa Rosa,850-626-7762,6002,Florida,32570,Medical Staff Office,(850) 626-5009,
Sebastian River Medical Center, U.S. 1,Sebastian,Indian River,772-589-3186,13695,Florida,32976,Medical Staff Office,(772) 581-2065,
Seven Rivers Rivers Regional Medical Center,North Suncoast Boulevard,Crystal River,Citrus,352-795-6560,6201,Florida,34428,Medical Staff Office,(352) 795-8381,
Shands Live Oak," 11th Street Southwest, ",Live Oak,Suwannee,386-362-0800,1100,Florida,32064,Medical Staff Office,(386) 362-0800,
South Bay Hospital, Sun City Center Boulevard,Sun City,Hillsborough,813-634-3301,4016,Florida,33573,Medical Staff Office,(813) 634-0407,
South Florida Baptist Hospital, North Alexander Street,Plant City,Hillsborough,813-757-1200,301,Florida,33563,Medical Staff Office,786-596-2290,
South Seminole Hospital, West State Road 434,Longwood,Seminole,407-767-1200,555,Florida,32750,Medical Staff Office,321.842.5980,
Spring Hill Regional Hospital, Quality Drive,Spring Hill,Hernando,352-688-8200,10461,Florida,34609,Medical Staff Office,352-754-3246,352-797-9519
St. Anthony's Hospital, 7th Avenue North,St. Petersburg,Pinellas,727-825-1100,1200,Florida,33705,Medical Staff Office,(727) 825-1168,
St. Vincent's Medical Center Riverside,1 Shircliff Way,Jacksonville,Duval,904-308-7300,,Florida,32204,Medical Staff Office,904-308-7300,
Sun Coast Hospital, Indian Rocks Road,Largo,Pinellas,727-581-9474,2025,Florida,33774,Medical Staff Office,727-581-9474,
Tallahassee Memorial Hospital,Miccosukee Road,Tallahassee,Leon,850-431-1155,1300,Florida,32308,Medical Staff Office,850-431-5250,
Tampa General Hospital,1 Tampa General Circle,Tampa,Hillsborough,813-844-7000,,Florida,33606,Medical Staff Office,(813) 844-7551,
Tampa Shriners Hospital,USF Pine Drive,Tampa,Hillsborough,813-972-2250,12502,Florida,33612,Medical Staff Office,813-972-2250,
Ten Broeck Hospital, Beach Boulevard,Jacksonville,Duval,904-724-9202,6300,Florida,32216,Medical Staff Office,904-724-9202,
Town & Country Hospital, Webb Road,Tampa,Hillsborough,813-888-7060,6001,Florida,33615,Medical Staff Office,(813) 882-7169,
Tri-County Hospital - Williston, SW Seventh Street,Williston,Levy,352) 528-2801,125,Florida,32696,Medical Staff Office,352) 528-2801,
Trinity Community Hospital, State Road 54,Jasper,Hamilton,727-834-4000,9330,Florida,34655,Medical Staff Office,727-834-4768,
Twin Cities Hospital,Highway 85 North,Niceville,Okaloosa,850-678-4131,2190,Florida,32578,Medical Staff Office,(805) 434-4572,
UF Health Jacksonville," West 8th Street,",Jacksonville,Duval,904-244-0411,655,Florida,32209,Medical Staff Office,904-244-9650,
University Hospital and Medical Center, North University Drive,Tamarac,Broward,954-721-2200,7201,Florida,3321,Medical Staff Office,954-724-6193,
University of Miami Hospital,Northwest 12th Avenue,Miami,Dade,305-689-5511,1400,Florida,33136,Medical Staff Office,(305) 325-5613,
VA Medical Center, Southwest Archer Road,Gainesville,Alachua,352-376-1611,1601,Florida,32608,Medical Staff Office,352-374-6009,
Venice Regional Medical Center,West Dearborn Street,Venice,Sarasota,941-473-5140,250,Florida,34223,Medical Staff Office,(941) 485-7711,
Viera Hospital,North Wickham Road,Viera,Brevard,321-434-9000,8745,Florida,32940,Medical Staff Office,321-434-7110,
Wellington Regional Medical Center, Forest Hill Boulevard,Wellington,Palm Beach,561-798-8500,10101,Florida,33414,Medical Staff Office,561-798-8500,
West Boca Medical Center, South Central Park Boulevard,Boca Raton,Palm Beach,561-482-9765,9970,Florida,33428,Medical Staff Office,561-482-9765,
West Florida Hospital, North Davis Highway,Pensacola,Escambia,850-494-4000,8383,Florida,32514,Medical Staff Office,(850) 494-4113,
West Side Regional Medical Center,West Broward Boulevard,Plantation,Broward,954-473-6600,8201,Florida,33324,Medical Staff Office,(954) 476-3996,
Winnie Palmer Hospital for Women & Babies, West Miller Street,Orlando,Orange,321-843-9792,83,Florida,32806,Medical Staff Office,321.841.8625,
Winter Haven Hospital,Ave F Northeast,Winter Haven,Polk,863-293-1121,200,Florida,33881,Medical Staff Office,863-293-1121,
Winter Park Memorial Hospital, North Lakemont Avenue,Winter Park,Orange,407-646-7000,200,Florida,32792,Medical Staff Office,407-646-7000,
Wolfson Children's Hospital,Prudential Drive,Jacksonville,Duval,904-202-2000,800,Florida,32207,Medical Staff Office,904-202-2000,
Wuesthoff Health System,375 Commerce Parkway,Rockledge,Brevard,321-690-6650,#103,Florida,32955,Medical Staff Office,321-690-6650,
Wuestoff Medical Center - Melbourne,North Wickham Road,Melbourne,Brevard,321-752-1200,250,Florida,39235,Medical Staff Office,321-752-1200,
Wuestoff Medical Center - Rockledge, Longwood Avenue,Rockledge,Brevard,321-636-2211,110,Florida,32955,Medical Staff Office,321-636-2211,
